region,latitude,longitude,seismic_zone,event_count_30d,avg_magnitude,max_magnitude,magnitude_std,b_value,avg_depth_km,log_energy_release,inter_event_cv,recent_rate_7d,rate_change_ratio,significant_event_next30d
Kerala,10.07,75.75,3,0,0.0,0.0,0.0,1.0,64.3,0.0,0.0,0,0.0,0
Rajasthan,26.68,75.49,2,1,2.13,2.13,0.0,1.0,8.0,3.203,0.0,0,0.0,0
Nagaland,26.62,94.46,5,1,2.43,2.43,0.0,1.0,41.9,3.645,0.0,0,0.0,0
Uttarakhand,29.89,79.76,5,1,2.39,2.39,0.0,1.0,21.2,3.578,0.0,0,0.0,0
Tamil Nadu,11.99,78.7,2,0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0,0.0,0
Nagaland,25.42,94.59,5,1,2.1,2.1,0.0,1.0,20.0,3.15,0.0,0,0.0,0
Madhya Pradesh,23.11,77.23,2,0,0.0,0.0,0.0,1.0,21.6,0.0,0.0,0,0.0,0
Sikkim,26.84,88.66,4,1,2.36,2.36,0.0,1.0,15.2,3.547,0.0,2,6.362,0
Assam,26.21,91.02,5,2,2.21,2.38,0.174,1.0,65.3,3.684,0.0,0,0.0,0
Andaman Islands,11.46,92.46,5,2,2.77,3.48,0.71,1.0,20.4,5.228,0.0,1,3.181,1
Kerala,9.56,76.4,3,0,0.0,0.0,0.0,1.0,8.2,0.0,0.0,0,0.0,0
Bihar,25.72,85.46,4,3,2.19,2.38,0.144,1.0,42.0,3.82,0.289,0,0.0,0
Meghalaya,26.4,92.87,5,2,2.41,2.65,0.233,1.0,70.3,4.05,0.0,1,3.181,0
Karnataka,14.31,76.47,2,1,2.29,2.29,0.0,1.0,13.1,3.443,0.0,0,0.0,0
Sikkim,26.63,89.16,4,1,2.2,2.2,0.0,1.0,75.6,3.3,0.0,1,3.181,0
Sikkim,26.4,88.81,4,3,2.43,2.74,0.231,1.0,38.7,4.262,0.937,0,0.0,0
Tripura,23.7,91.35,5,1,2.3,2.3,0.0,1.0,59.5,3.457,0.0,0,0.0,0
Andaman Islands,11.93,92.83,5,3,2.29,2.39,0.094,1.0,46.3,3.932,0.945,0,0.0,0
Sikkim,28.29,89.14,4,1,3.13,3.13,0.0,1.0,57.1,4.702,0.0,0,0.0,0
Kerala,10.19,76.66,3,0,0.0,0.0,0.0,1.0,21.0,0.0,0.0,0,0.0,0
Tamil Nadu,10.93,79.68,2,0,0.0,0.0,0.0,1.0,15.5,0.0,0.0,0,0.0,0
Karnataka,14.78,74.89,2,0,0.0,0.0,0.0,1.0,64.1,0.0,0.0,0,0.0,0
Himachal Pradesh,31.21,76.43,5,2,2.41,2.5,0.091,1.0,13.1,3.931,0.0,1,3.181,0
Kashmir,33.71,75.59,5,5,2.32,2.76,0.255,1.175,39.8,4.362,0.466,1,0.815,0
Karnataka,14.62,75.89,2,0,0.0,0.0,0.0,1.0,37.8,0.0,0.0,0,0.0,0
Karnataka,16.06,76.28,2,0,0.0,0.0,0.0,1.0,11.5,0.0,0.0,1,3.181,0
Assam,25.81,92.56,5,4,3.03,4.19,0.751,1.0,72.4,6.294,0.246,0,0.0,1
Kerala,10.06,75.79,3,0,0.0,0.0,0.0,1.0,38.0,0.0,0.0,0,0.0,0
Nagaland,25.21,94.56,5,1,2.44,2.44,0.0,1.0,68.4,3.656,0.0,0,0.0,0
Rajasthan,25.98,75.83,2,0,0.0,0.0,0.0,1.0,11.5,0.0,0.0,1,3.181,0
Andaman Islands,11.8,91.91,5,5,2.26,2.44,0.138,1.42,48.2,4.133,0.423,1,0.815,0
Delhi-NCR,27.98,77.55,4,0,0.0,0.0,0.0,1.0,34.6,0.0,0.0,0,0.0,0
Gujarat-Kutch,23.65,68.87,5,1,2.35,2.35,0.0,1.0,16.0,3.526,0.0,0,0.0,0
Odisha,20.86,85.27,2,0,0.0,0.0,0.0,1.0,27.2,0.0,0.0,0,0.0,0
Uttarakhand,30.34,79.32,5,0,0.0,0.0,0.0,1.0,14.1,0.0,0.0,0,0.0,0
Tamil Nadu,10.82,78.12,2,0,0.0,0.0,0.0,1.0,14.1,0.0,0.0,0,0.0,0
Kashmir,34.07,74.76,5,2,2.21,2.32,0.11,1.0,28.8,3.643,0.0,2,6.362,0
Tripura,23.31,90.83,5,2,2.28,2.48,0.195,1.0,117.4,3.815,0.0,1,3.181,0
Tripura,24.12,91.8,5,0,0.0,0.0,0.0,1.0,14.4,0.0,0.0,0,0.0,0
Kashmir,35.01,74.01,5,5,2.58,3.1,0.405,0.685,42.5,4.94,1.504,2,2.167,1
Tamil Nadu,11.32,79.34,2,0,0.0,0.0,0.0,1.0,8.4,0.0,0.0,0,0.0,0
Assam,26.33,91.18,5,4,2.53,3.1,0.395,1.0,49.6,4.771,0.888,0,0.0,0
Nagaland,25.7,94.83,5,1,2.75,2.75,0.0,1.0,54.0,4.118,0.0,0,0.0,0
Meghalaya,26.44,91.73,5,2,2.44,2.52,0.072,1.0,84.6,3.979,0.0,0,0.0,0
Karnataka,15.12,75.31,2,2,2.27,2.44,0.163,1.0,7.3,3.776,0.0,0,0.0,1
Ladakh,35.18,76.8,5,2,2.77,3.29,0.521,1.0,131.6,4.945,0.0,1,3.181,0
Madhya Pradesh,23.26,76.67,2,0,0.0,0.0,0.0,1.0,9.3,0.0,0.0,0,0.0,0
Bihar,26.38,86.01,4,3,2.32,2.6,0.213,1.0,25.2,4.075,0.723,0,0.0,0
Tripura,23.3,92.36,5,2,2.32,2.54,0.215,1.0,19.6,3.892,0.0,0,0.0,0
Andaman Islands,11.57,93.63,5,11,2.48,3.56,0.398,0.812,11.0,5.43,0.828,1,0.327,1
Tamil Nadu,10.45,79.38,2,1,2.72,2.72,0.0,1.0,7.0,4.087,0.0,0,0.0,0
Tripura,24.21,91.79,5,1,2.6,2.6,0.0,1.0,102.5,3.906,0.0,0,0.0,0
Mizoram,23.55,92.82,5,1,2.48,2.48,0.0,1.0,13.3,3.719,0.0,1,3.181,0
Andaman Islands,11.93,92.19,5,8,2.19,2.48,0.149,1.823,48.5,4.248,0.662,0,0.0,1
