city,latitude,longitude,elevation_m,month,is_monsoon,is_coastal,rainfall_24h_mm,rainfall_48h_mm,rainfall_72h_mm,max_hourly_rate_mm,temperature_c,humidity_pct,pressure_hpa,wind_speed_kmh,flood_occurred
Bhubaneswar,20.3,85.82,45,4,0,1,29.1,32.1,34.1,0.2,26.2,69.7,1020.6,14.8,0
Ranchi,23.34,85.31,651,5,0,0,31.0,34.7,37.2,1.4,8.7,53.0,1015.7,2.8,0
Delhi,28.61,77.23,216,12,0,0,32.6,51.4,57.7,16.7,29.6,56.2,1012.2,9.1,0
Jaipur,26.91,75.79,431,7,1,0,0.6,0.8,0.8,0.0,31.7,82.8,1008.3,7.5,0
Hyderabad,17.39,78.49,542,3,0,0,22.1,27.1,33.6,2.2,23.4,72.3,1006.9,20.4,0
Hyderabad,17.39,78.49,542,7,1,0,38.6,59.1,111.0,4.5,22.5,84.1,1016.1,1.4,0
Silchar,24.83,92.78,35,7,1,0,33.7,34.0,37.0,5.2,32.2,69.5,996.6,20.9,0
Jaipur,26.91,75.79,431,12,0,0,16.9,17.6,20.1,0.8,26.9,37.4,1018.5,17.5,0
Mumbai,19.08,72.88,14,3,0,1,1.3,1.9,2.7,0.1,11.8,74.6,1017.0,0.3,0
Bengaluru,12.97,77.59,920,3,0,0,0.3,0.4,0.7,0.0,27.8,38.7,1018.2,2.1,0
Bhubaneswar,20.3,85.82,45,11,0,1,11.5,13.9,14.4,0.9,22.7,64.4,1017.5,25.8,0
Varanasi,25.32,83.01,81,12,0,0,4.1,6.7,6.7,0.2,20.2,56.1,1015.3,6.1,0
Patna,25.61,85.14,53,1,0,0,1.3,1.6,2.0,0.2,26.0,66.8,1012.2,26.3,0
Bhubaneswar,20.3,85.82,45,2,0,1,12.1,15.2,20.1,1.7,12.3,53.4,1012.6,9.7,0
Varanasi,25.32,83.01,81,4,0,0,0.8,1.6,1.8,0.4,30.7,40.2,1009.7,12.8,0
Jaipur,26.91,75.79,431,12,0,0,6.0,7.4,8.0,0.9,20.2,71.8,1015.2,0.8,0
Jaipur,26.91,75.79,431,1,0,0,4.3,7.2,9.5,0.1,32.2,78.7,1013.3,2.1,0
Visakhapatnam,17.69,83.22,45,10,0,1,38.5,167.6,219.4,3.9,24.0,34.3,1013.6,3.9,1
Imphal,24.82,93.95,786,3,0,0,17.8,38.1,57.6,3.4,25.3,73.8,1011.9,3.7,0
Silchar,24.83,92.78,35,3,0,0,35.6,49.8,58.3,23.1,18.2,45.2,1007.5,3.7,0
Hyderabad,17.39,78.49,542,7,1,0,67.0,95.6,122.7,2.4,28.9,85.3,987.9,5.3,1
Hyderabad,17.39,78.49,542,11,0,0,5.2,8.6,12.8,0.2,36.2,79.5,1006.3,11.7,0
Srinagar,34.08,74.8,1585,12,0,0,26.3,80.0,114.9,6.3,12.8,58.1,1016.7,15.2,0
Kolkata,22.57,88.36,11,2,0,1,8.0,12.1,12.4,1.0,30.2,62.6,1014.9,16.2,0
Mumbai,19.08,72.88,14,9,1,1,76.4,152.4,203.2,19.3,30.0,71.0,995.5,8.4,1
Bengaluru,12.97,77.59,920,4,0,0,9.2,21.4,22.9,0.5,21.2,74.3,1016.3,0.3,0
Silchar,24.83,92.78,35,10,0,0,7.7,7.8,7.9,1.7,20.4,70.3,1004.9,5.9,0
Raipur,21.25,81.63,298,12,0,0,2.2,2.3,3.0,0.2,30.3,49.0,1014.1,29.8,0
Delhi,28.61,77.23,216,3,0,0,14.2,14.9,15.0,5.8,26.4,53.3,1004.7,4.2,0
Mumbai,19.08,72.88,14,2,0,1,2.7,3.9,5.1,0.2,19.0,62.8,1015.9,1.5,0
Pune,18.52,73.86,560,12,0,0,0.4,0.4,0.5,0.0,20.9,56.4,1022.4,4.1,0
Delhi,28.61,77.23,216,6,1,0,49.4,78.5,92.3,12.0,24.0,81.0,999.3,0.6,0
Varanasi,25.32,83.01,81,2,0,0,0.3,0.5,0.6,0.0,35.3,69.7,1013.6,22.7,0
Kolkata,22.57,88.36,11,1,0,1,31.8,39.1,62.8,0.1,22.0,52.7,1014.0,1.5,0
Raipur,21.25,81.63,298,2,0,0,8.9,17.6,18.8,0.2,27.2,65.4,1015.9,37.3,0
Visakhapatnam,17.69,83.22,45,4,0,1,4.4,11.4,14.8,0.3,28.9,50.0,1018.8,1.3,0
Srinagar,34.08,74.8,1585,1,0,0,6.6,15.5,16.8,0.0,18.7,52.2,1017.7,24.1,0
Imphal,24.82,93.95,786,10,0,0,9.2,11.4,15.5,1.6,24.2,33.1,1010.8,0.8,0
Delhi,28.61,77.23,216,10,0,0,0.5,1.2,1.3,0.0,26.0,28.6,1021.9,7.7,0
Kochi,9.93,76.27,0,7,1,1,34.0,79.4,81.6,3.1,32.2,78.0,992.1,23.9,0
Ranchi,23.34,85.31,651,4,0,0,2.4,3.0,4.2,0.2,29.1,62.8,1017.1,2.3,0
Imphal,24.82,93.95,786,7,1,0,29.9,45.1,61.3,5.4,28.8,77.4,991.1,9.1,0
Silchar,24.83,92.78,35,12,0,0,3.3,9.8,9.8,1.4,25.9,54.9,1015.3,0.6,0
Kolkata,22.57,88.36,11,3,0,1,34.1,58.4,66.7,4.2,29.3,94.1,1015.0,0.6,0
Ahmedabad,23.02,72.57,53,10,0,1,27.3,43.2,46.7,0.7,14.1,58.3,1017.9,10.5,0
Patna,25.61,85.14,53,9,1,0,19.0,22.7,26.7,2.2,26.5,78.0,1002.6,0.6,0
Kochi,9.93,76.27,0,2,0,1,5.3,5.6,10.0,0.5,23.5,71.7,1013.8,18.0,0
Dehradun,30.32,78.03,640,1,0,0,4.5,9.3,10.8,0.0,23.5,50.8,1020.2,11.1,0
Kolkata,22.57,88.36,11,5,0,1,8.6,11.0,11.9,0.2,20.7,73.9,1017.1,2.8,0
Mumbai,19.08,72.88,14,1,0,1,14.0,19.4,29.4,0.6,22.1,60.0,1010.9,6.5,0
Patna,25.61,85.14,53,5,0,0,10.1,15.8,19.9,1.0,26.0,63.0,1013.2,6.3,0
Mumbai,19.08,72.88,14,8,1,1,152.0,261.1,357.9,11.7,32.2,83.8,987.9,0.8,1
Patna,25.61,85.14,53,2,0,0,9.6,14.6,16.2,0.9,36.4,42.8,1010.0,4.1,0
Visakhapatnam,17.69,83.22,45,8,1,1,11.5,25.8,29.1,5.2,22.9,76.0,1016.4,20.7,0
Dehradun,30.32,78.03,640,12,0,0,4.0,5.8,6.5,1.1,19.9,60.8,1010.6,3.1,0
Silchar,24.83,92.78,35,9,1,0,71.3,91.6,91.7,18.1,30.7,72.2,1003.3,34.3,0
Thiruvananthapuram,8.52,76.94,10,8,1,1,37.1,50.9,71.3,0.2,34.2,69.9,1013.9,27.1,0
Pune,18.52,73.86,560,11,0,0,6.7,9.8,10.5,0.3,21.3,58.1,1008.2,3.1,0
Bhubaneswar,20.3,85.82,45,6,1,1,23.6,45.6,52.1,0.3,41.6,95.5,1010.1,16.4,0
Srinagar,34.08,74.8,1585,12,0,0,1.3,2.1,2.5,0.1,17.2,46.9,1006.1,2.2,0
Ranchi,23.34,85.31,651,5,0,0,1.5,1.7,1.9,0.0,9.2,50.2,1010.6,32.3,0
Kochi,9.93,76.27,0,2,0,1,8.4,14.9,20.7,1.3,16.3,59.9,1015.3,21.9,0
Patna,25.61,85.14,53,6,1,0,216.8,390.2,455.6,33.3,28.7,74.7,1008.1,5.6,1
Guwahati,26.14,91.74,55,11,0,0,9.0,13.3,16.2,0.3,21.8,48.8,1002.3,1.2,0
Jaipur,26.91,75.79,431,1,0,0,1.1,2.1,2.1,0.3,20.0,95.0,1010.0,21.6,0
Lucknow,26.85,80.95,123,9,1,0,12.0,21.2,21.4,2.3,32.0,87.3,1001.5,12.9,0
Kolkata,22.57,88.36,11,5,0,1,2.0,4.9,5.2,0.2,22.4,69.8,1006.5,15.0,0
Imphal,24.82,93.95,786,6,1,0,40.7,51.4,59.5,3.9,14.6,98.0,990.4,3.2,1
Imphal,24.82,93.95,786,8,1,0,62.1,93.8,244.6,10.8,30.9,95.6,1002.7,1.2,1
Guwahati,26.14,91.74,55,6,1,0,81.1,86.4,111.3,4.8,41.0,95.1,1002.7,5.6,1
Hyderabad,17.39,78.49,542,5,0,0,6.1,6.1,8.3,0.6,25.9,81.2,1010.6,14.0,0
Delhi,28.61,77.23,216,8,1,0,42.9,118.6,121.5,4.7,41.1,74.9,984.4,0.1,1
Lucknow,26.85,80.95,123,12,0,0,1.0,1.0,1.0,0.0,22.7,51.0,1019.5,1.4,0
Guwahati,26.14,91.74,55,6,1,0,117.7,135.9,180.0,7.0,25.7,72.1,994.2,12.4,1
Jaipur,26.91,75.79,431,3,0,0,4.3,5.4,6.1,0.7,15.3,72.3,1013.4,4.8,0
Imphal,24.82,93.95,786,6,1,0,10.2,25.3,27.1,1.1,21.0,60.4,1002.6,26.0,0
Srinagar,34.08,74.8,1585,4,0,0,5.0,5.2,8.0,0.1,16.5,95.0,1013.3,1.7,0
Bengaluru,12.97,77.59,920,8,1,0,40.3,58.4,70.7,3.3,33.4,90.3,995.0,0.9,0
Hyderabad,17.39,78.49,542,7,1,0,153.3,248.3,280.5,0.5,29.7,70.7,996.8,8.6,1
Mumbai,19.08,72.88,14,9,1,1,15.8,16.0,16.7,3.2,32.4,87.8,994.0,3.3,0
Chennai,13.08,80.27,6,3,0,1,2.7,5.6,6.1,0.4,21.7,70.7,1015.2,27.2,0
Bhubaneswar,20.3,85.82,45,10,0,1,0.9,1.2,2.0,0.2,18.6,64.9,1006.7,5.7,0
Varanasi,25.32,83.01,81,7,1,0,16.9,25.0,28.9,0.7,34.5,71.8,1017.0,12.9,0
Srinagar,34.08,74.8,1585,2,0,0,0.2,0.3,0.3,0.0,10.6,64.6,1004.4,2.5,0
Lucknow,26.85,80.95,123,6,1,0,129.0,153.8,195.5,17.0,27.0,83.6,995.2,0.1,1
Raipur,21.25,81.63,298,11,0,0,20.6,31.9,40.9,0.5,22.7,63.8,1017.9,3.9,0
Pune,18.52,73.86,560,2,0,0,1.6,2.5,2.7,0.1,17.6,54.8,1014.0,10.2,0
Bhubaneswar,20.3,85.82,45,8,1,1,49.7,132.1,158.3,1.5,26.9,98.7,1000.6,8.2,1
Bengaluru,12.97,77.59,920,11,0,0,3.5,3.7,5.5,0.3,17.3,54.7,1014.2,2.3,0
Kolkata,22.57,88.36,11,2,0,1,15.7,24.1,26.9,0.2,24.6,43.7,1017.6,2.5,0
Visakhapatnam,17.69,83.22,45,8,1,1,82.0,145.4,178.7,40.4,31.1,92.3,1008.5,14.2,1
Jaipur,26.91,75.79,431,10,0,0,0.3,0.3,0.4,0.1,25.1,66.4,1014.0,28.3,0
Varanasi,25.32,83.01,81,2,0,0,12.7,18.3,23.6,1.7,29.1,59.0,1009.7,5.2,0
Kolkata,22.57,88.36,11,5,0,1,7.4,11.2,16.0,0.7,31.1,28.8,1006.6,8.8,0
Bengaluru,12.97,77.59,920,10,0,0,18.2,68.9,68.9,0.5,23.6,43.6,1001.1,0.6,0
Pune,18.52,73.86,560,4,0,0,0.5,0.6,0.7,0.0,23.6,95.0,1009.7,10.5,0
Srinagar,34.08,74.8,1585,3,0,0,5.9,10.4,12.5,0.2,15.8,71.8,1010.7,1.1,0
Patna,25.61,85.14,53,5,0,0,0.9,2.5,2.7,0.1,30.6,74.8,1011.9,5.8,0
Delhi,28.61,77.23,216,11,0,0,1.7,3.2,3.5,0.0,22.1,50.7,1010.2,11.4,0
Srinagar,34.08,74.8,1585,8,1,0,123.5,225.6,227.4,34.8,21.4,99.9,997.7,4.0,1
Jaipur,26.91,75.79,431,3,0,0,26.4,43.3,51.8,0.3,14.1,64.3,1014.7,2.4,0
Patna,25.61,85.14,53,10,0,0,7.5,11.3,14.6,0.7,26.8,73.6,1013.2,5.9,0
Visakhapatnam,17.69,83.22,45,8,1,1,16.3,20.3,22.1,5.4,31.4,79.9,1000.9,2.5,0
Patna,25.61,85.14,53,11,0,0,32.3,32.4,54.6,1.0,32.6,75.6,1012.5,2.4,0
Chennai,13.08,80.27,6,11,0,1,38.5,61.7,73.7,7.3,26.3,39.6,1016.7,9.4,0
Chennai,13.08,80.27,6,12,0,1,9.7,10.1,11.5,1.5,25.6,62.6,1015.0,5.1,0
Dibrugarh,27.47,94.91,108,11,0,0,19.0,29.3,33.0,0.2,22.2,90.3,1009.3,13.7,0
Lucknow,26.85,80.95,123,10,0,0,0.0,0.0,0.0,0.0,30.9,58.3,1006.9,2.8,0
Chennai,13.08,80.27,6,4,0,1,10.3,28.1,30.3,1.3,17.3,56.7,1007.3,49.6,0
Mumbai,19.08,72.88,14,10,0,1,22.3,22.7,32.1,1.3,24.5,49.3,1009.7,41.4,0
Pune,18.52,73.86,560,9,1,0,95.9,203.1,258.0,11.8,28.2,87.7,1008.8,12.7,1
Silchar,24.83,92.78,35,7,1,0,8.2,9.3,11.5,0.1,21.9,76.6,1017.4,12.8,0
Lucknow,26.85,80.95,123,1,0,0,0.1,0.1,0.1,0.0,28.3,57.4,1009.6,12.1,0
Hyderabad,17.39,78.49,542,11,0,0,6.0,21.5,21.9,0.5,29.8,56.1,1011.0,6.6,0
Dehradun,30.32,78.03,640,12,0,0,0.7,0.7,1.2,0.0,25.0,75.3,1013.5,13.8,0
Delhi,28.61,77.23,216,7,1,0,54.4,85.7,106.4,2.4,35.2,83.7,1010.0,7.6,0
Bhubaneswar,20.3,85.82,45,11,0,1,21.8,29.7,38.7,2.0,22.9,79.8,1014.0,0.7,0
Varanasi,25.32,83.01,81,12,0,0,1.6,5.2,5.5,0.0,27.7,55.2,1015.1,5.5,0
Dehradun,30.32,78.03,640,6,1,0,71.1,80.6,113.0,0.7,32.3,82.3,1004.0,10.4,1
Dibrugarh,27.47,94.91,108,4,0,0,9.8,13.9,17.0,0.9,22.4,73.1,1016.8,4.0,0
Guwahati,26.14,91.74,55,2,0,0,9.1,35.6,36.8,0.5,21.4,69.0,1018.7,14.5,0
Mumbai,19.08,72.88,14,3,0,1,14.8,23.7,26.5,1.3,21.4,84.9,1005.3,6.9,0
Ranchi,23.34,85.31,651,12,0,0,4.6,7.6,7.8,0.6,17.4,83.1,1022.0,15.6,0
Patna,25.61,85.14,53,1,0,0,14.7,15.4,16.5,1.3,29.7,36.7,1011.6,4.5,0
Shillong,25.57,91.88,1496,8,1,0,52.1,57.8,58.6,8.7,20.9,75.3,1007.2,14.9,0
Ahmedabad,23.02,72.57,53,8,1,1,44.7,47.9,53.5,0.3,33.4,79.6,1006.0,0.5,0
Varanasi,25.32,83.01,81,3,0,0,5.6,8.0,8.1,0.1,29.2,57.2,1015.2,4.9,0
Thiruvananthapuram,8.52,76.94,10,11,0,1,6.3,6.4,7.3,1.0,28.0,46.9,1015.0,42.0,0
Mumbai,19.08,72.88,14,7,1,1,70.3,78.5,111.7,16.0,30.7,90.6,1001.7,8.3,1
